"naic","company_name","ratio","upheld_complaints","question_of_fact_complaints","not_upheld_complaints","total_complaints","premiums_written_in_millions","rank","filing_year"
"30210","Esurance Property and Casualty Insurance Company","0.20268295","9","4","29","42","44.404327","116","2022"
"18058","Philadelphia Indemnity Insurance Company","0.207733546","1","0","0","1","4.813859","117","2022"
"10914","Kemper Independence Insurance Company","0.210437592","6","2","13","21","28.512016","118","2022"
"16063","Unitrin Auto and Home Insurance Company","0.24489594","1","0","1","2","4.083367","119","2022"
"34789","21st Century Centennial Insurance Company","0.276143373","2","1","4","7","7.2426145","120","2022"
"37648","Permanent General Assurance Corporation","0.290138329","3","0","7","10","10.3398955","121","2022"
"40231","Old Dominion Insurance Company","0.293605694","3","2","1","6","10.2177855","122","2022"
"25682","Travelers Indemnity Company of Connecticut","0.693314799","2","0","0","2","2.8846925","123","2022"
"27138","Midvale Indemnity Company","0.701484991","2","1","2","5","2.8510945","124","2022"
"25275","Plymouth Rock Assurance Corporation of New York","0.70174029","8","2","10","20","11.400229","125","2022"
"20052","National Liability & Fire Insurance Company","0.827337549","1","0","0","1","1.2086965","126","2022"
"25658","Travelers Indemnity Company","1.152167977","1","0","0","1","0.867929","127","2022"
"20281","Federal Insurance Company","1.292425482","1","0","0","1","0.773739","128","2022"
"22268","Infinity Insurance Company","1.654595017","1","0","0","1","0.6043775","129","2022"
"36161","Travelers Property Casualty Insurance Company","2.139286826","1","0","1","2","0.4674455","130","2022"
"10111","American Bankers Insurance Company of Florida","2.710846231","1","0","1","2","0.3688885","131","2022"
"22322","Greenwich Insurance Company","48780.4878","5","0","1","6","0.0001025","132","2022"
"35882","GEICO General Insurance Company","0","0","2","4","6","2620.527435","1","2021"
"14834","New York Central Mutual Fire Insurance Company","0","0","18","31","49","334.9796545","2","2021"
"27998","Travelers Home and Marine Insurance Company","0","0","1","9","10","91.9907725","3","2021"
"10052","Chubb National Insurance Company","0","0","1","1","2","67.353561","4","2021"
"26298","Farmers Property and Casualty Insurance Company","0","0","0","6","6","66.884522","5","2021"
"36587","Plymouth Rock Assurance Preferred Corporation","0","0","2","7","9","65.2364125","6","2021"
"43478","Utica National Insurance Company of Texas","0","0","5","9","14","64.9775615","7","2021"
"10212","Allmerica Financial Alliance Insurance Company","0","0","3","2","5","63.490672","8","2021"
"15024","Preferred Mutual Insurance Company","0","0","1","7","8","57.974294","9","2021"
"16233","Erie Insurance Company of New York","0","0","1","5","6","56.5382735","10","2021"
"13026","Main Street America Protection Insurance Company","0","0","3","0","3","53.80324","11","2021"
"23787","Nationwide Mutual Insurance Company","0","0","1","2","3","46.6912255","12","2021"
"12130","New South Insurance Company","0","0","2","8","10","43.513793","13","2021"
"40169","Farmers Casualty Insurance Company","0","0","0","3","3","41.278428","14","2021"
"19070","Standard Fire Insurance Company","0","0","0","3","3","38.8556895","15","2021"
"42919","Progressive Northwestern Insurance Company","0","0","3","1","4","37.395765","16","2021"
"12873","Privilege Underwriters Reciprocal Exchange","0","0","1","1","2","31.2751685","17","2021"
"10677","Cincinnati Insurance Company","0","0","0","1","1","29.0891675","18","2021"
"25453","Nationwide Insurance Company of America","0","0","1","2","3","25.5334815","19","2021"
"19402","AIG Property Casualty Company","0","0","0","1","1","25.484854","20","2021"
